comorbidity_id,comorbidity_name,preferred_name,abbr,chinese_label,description,source,synonyms,see_also,category_id,rdoc_link
1,Major Depressive Disorder,Major Depressive Disorder,MDD,重性抑郁障碍,"Major Depressive Disorder is characterized by a persistent low mood, loss of interest or pleasure in activities, significant weight changes, sleep disturbances, fatigue, feelings of worthlessness, and recurrent thoughts of death or suicide.",DSM-5,"Depression, Clinical Depression, Major Depression",UMLS CUI: C1269683,1,
2,Bipolar Disorder,Bipolar Disorder,BD,双相障碍,"Bipolar Disorder is marked by extreme mood swings, including manic episodes (elevated mood, increased activity, reduced need for sleep) and depressive episodes (low mood, loss of interest). The disorder is classified into types based on the pattern and severity of these episodes.",DSM-5,"Manic-Depressive Illness, Bipolar Affective Disorder",UMLS CUI: C0005586,1,
3,Obsessive-Compulsive Disorder,Obsessive-Compulsive Disorder,OCD,强迫症,"Obsessive-Compulsive Disorder (OCD) involves recurrent and persistent thoughts, urges, or images that are experienced as intrusive and unwanted (obsessions), and repetitive behaviors or mental acts that a person feels driven to perform in response to an obsession (compulsions).",DSM-5,"OCD, Obsessive-Compulsive Disease",UMLS CUI: C0028768,1,
4,Posttraumatic Stress Disorder,Posttraumatic Stress Disorder,PTSD,创伤后应激障碍,"Posttraumatic Stress Disorder (PTSD) develops after exposure to a traumatic event and includes symptoms such as intrusive memories, avoidance of reminders of the trauma, negative changes in thoughts and mood, and increased arousal and reactivity.",DSM-5,"PTSD, Post-Traumatic Stress Disorder",UMLS CUI: C0038436,1,
5,Generalized Anxiety Disorder,Generalized Anxiety Disorder,GAD,广泛性焦虑障碍,"Generalized Anxiety Disorder (GAD) is characterized by excessive anxiety and worry about a variety of events or activities, occurring more days than not for at least six months. Symptoms include restlessness, fatigue, difficulty concentrating, irritability, muscle tension, and sleep disturbances.",DSM-5,"GAD, Generalized Anxiety",UMLS CUI: C0270549,1,
6,Panic Disorder,Panic Disorder,PD,惊恐障碍,"Panic Disorder is defined by recurrent unexpected panic attacks, which are abrupt surges of intense fear or discomfort that reach a peak within minutes. Symptoms include palpitations, sweating, trembling, shortness of breath, and a fear of losing control.",DSM-5,"Panic Attack Disorder, Anxiety Attack Disorder",UMLS CUI: C0030319,1,
7,Social Anxiety Disorder,Social Anxiety Disorder,SAD,社交焦虑障碍,"Social Anxiety Disorder is characterized by a persistent fear of social situations in which the person is exposed to possible scrutiny by others. Symptoms include significant anxiety, avoidance of social interactions, and impairment in social or occupational functioning.",DSM-5,"Social Phobia, Social Anxiety",UMLS CUI: C0031572,1,
8,Depressive Disorder,Depressive Disorder,,抑郁障碍,A group of conditions characterized by persistent feelings of sadness and loss of interest that interfere with daily functioning.,Mayo Clinic,Major Depressive Disorder,,40,
9,Substance Use Disorder,Substance Use Disorder,SUD,物质使用障碍,A condition in which the use of one or more substances leads to a clinically significant impairment or distress.,DSM-5,Drug Addiction,,40,
10,Attention-Deficit Hyperactivity Disorder (ADHD),Attention-Deficit Hyperactivity Disorder (ADHD),ADHD,注意缺陷多动障碍,A neurodevelopmental disorder characterized by a persistent pattern of inattention and/or hyperactivity-impulsivity that interferes with functioning or development.,DSM-5,,,40,
