risk_factor_id,risk_factor_name,preferred_name,abbr,chinese_label,description,source,synonyms,see_also,category_id,rdoc_link
1,Chronic or disabling medical conditions,Chronic or disabling medical conditions,,慢性或致残的医疗状况,"Chronic medical conditions, such as cancer or diabetes, especially hypothyroidism or other brain-related illnesses such as Alzheimer’s or Parkinson’s, can increase the risk of developing mental health problems. ",wiki,,,35,
2,Incomplete inter-episode recovery,Incomplete inter-episode recovery,,发作间期恢复不完全,"This term refers to the failure to fully recover between episodes of a mental health disorder, leading to a progressive decline in overall functioning.",wiki,,,35,
3,Major nonmood disorders,Major nonmood disorders,,主要非情绪障碍,"Refers to significant mental health disorders that do not primarily involve mood disturbances, such as schizophrenia or other psychotic disorders.",wiki,,,35,
4,"Substance use, anxiety, and borderline personality disorders","Substance use, anxiety, and borderline personality disorders",,物质使用、焦虑和边缘性人格障碍,"These are specific mental health disorders: substance use disorder involves the harmful use of substances; anxiety disorders involve excessive fear or anxiety; borderline personality disorder is characterized by instability in relationships, self-image, and emotions.",wiki,,,35,
5,Cultural differences,Cultural differences,,文化差异,"Variations in cultural norms and values that can influence the perception, manifestation, and treatment of mental health disorders.",wiki,,,36,
6,Do not have a good support system of family and friends,Do not have a good support system of family and friends,,缺乏良好的家庭和朋友支持系统,Lacking a supportive network of family and friends can increase the risk of developing mental health problems.,wiki,Social isolation,,36,
7,Exposure to repeated upsetting reminders,Exposure to repeated upsetting reminders,,暴露于反复令人不安的提醒,"Continuous exposure to distressing cues or reminders associated with traumatic events, potentially leading to or exacerbating mental health issues.",wiki,,,36,
8,High income country,High income country,,高收入国家,"Countries with a high gross national income per capita, as defined by the World Bank; the relationship between residing in such countries and mental health varies based on numerous factors.",wiki,,,36,
9,Lower education,Lower education,,低教育水平,"Having a lower level of educational attainment, which has been associated with an increased risk of developing mental health disorders.",wiki,,,36,
10,Major changes in life,Major changes in life,,生活中的重大变化,Significant life transitions or events that can induce stress and potentially contribute to the development of mental health issues.,wiki,,,36,
11,Negative experiences,Negative experiences,,消极经历,Adverse events or interactions that can negatively impact mental well-being.,wiki,,,36,
12,New social or work demands,New social or work demands,,新的社交或工作要求,Recent increases in social or occupational responsibilities that may contribute to stress and affect mental health.,wiki,,,36,
13,Physical and sexual abuse in childhood,Physical and sexual abuse in childhood,,儿童期的身体和性虐待,"Experiencing physical or sexual abuse during childhood, which is a significant risk factor for developing mental health disorders later in life.",wiki,,,36,
14,"Separated, Divorced, Or Widowed Status","Separated, Divorced, Or Widowed Status",,分居、离婚或丧偶状态,Marital statuses that have been associated with an increased risk of mental health issues due to factors like social isolation or grief.,wiki,,,36,
15,Stressful life events,Stressful life events,,压力性生活事件,"Events that cause significant stress, potentially triggering or worsening mental health conditions.",wiki,,,36,
